JD,Flx(V),E_flx,Q/I,E_Q/I,U/I,E_U/I,V-J,E_V-J
4897.03,4.02E-11,1.39E-13,0.1164,0.0047,-0.0429,0.0096,2.064,0.004
4899.1,4.12E-11,2.39E-13,0.0477,0.0141,-0.0062,0.014,1.964,0.011
4900.14,4.96E-11,9.76E-14,-0.0621,0.0019,0.0654,0.002,1.966,0.003
4901.07,5.05E-11,2.06E-13,-0.0425,0.0051,0.025,0.007,2.006,0.006
4901.97,4.08E-11,1.03E-13,-0.0366,0.0047,-0.0017,0.0061,2.062,0.003
4905.03,4.65E-11,2.12E-13,-0.0577,0.0062,0.0192,0.0015,2.06,0.006
4906.97,7.00E-11,2.32E-13,-0.0225,0.0051,0.0541,0.0061,2.053,0.013
4907.99,6.58E-11,5.56E-14,-0.0559,0.0028,0.0449,0.004,2.031,0.002
4909,8.69E-11,1.23E-13,0.0096,0.0047,-0.0217,0.0021,1.911,0.003
4911.02,7.21E-11,1.07E-13,-0.1059,0.0043,-0.0237,0.0028,1.968,0.003
4921.01,4.08E-11,1.24E-13,-0.0193,0.0093,-0.0069,0.0013,1.998,0.004
4921.98,3.88E-11,6.14E-14,0.0124,0.0019,0.0112,0.0067,2.051,0.003
4923.95,3.22E-11,6.53E-14,-0.1101,0.0067,0.0234,0.0016,2.071,0.004
4927.95,2.59E-11,6.38E-14,-0.0477,0.0059,-0.0116,0.0112,2.152,0.007
4929,2.68E-11,5.18E-14,-0.0591,0.0042,-0.0604,0.0107,2.121,0.003
4931.96,3.63E-11,8.68E-14,-0.0928,0.0031,-0.0336,0.0033,2.08,0.005
4933.96,3.57E-11,8.29E-14,-0.1121,0.0009,0.0106,0.0069,2.03,0.006
4937.05,4.99E-11,1.28E-13,-0.032,0.0082,-0.0117,0.0061,1.939,0.003
4938.95,4.70E-11,1.42E-13,-0.0938,0.0056,-0.0594,0.0076,1.976,0.006
